iter	MultiClass
0	1.047685128
1	1.003937483
2	0.9668158593
3	0.9343867114
4	0.9061682846
5	0.88122079
6	0.8591583253
7	0.8398524724
8	0.8221139061
9	0.8068218366
10	0.7928065292
11	0.780046722
12	0.7685650235
13	0.7581077863
14	0.748874725
15	0.7408211091
16	0.7328423634
17	0.7256454703
18	0.7188488349
19	0.7130416571
20	0.7070761632
21	0.7005863838
22	0.69488073
23	0.6890115818
24	0.6845536889
25	0.6802922897
26	0.6763971175
27	0.6724618659
28	0.6691935386
29	0.6660941154
30	0.6638495607
31	0.6613216359
32	0.6585445436
33	0.6555417489
34	0.6528327781
35	0.6503554425
36	0.6483152895
37	0.6458438917
38	0.6432411315
39	0.6403291837
40	0.6385683214
41	0.6368170577
42	0.6352149419
43	0.6337515628
44	0.6319645696
45	0.6304542857
46	0.6292074802
47	0.6281534053
48	0.626984966
49	0.6259022666
50	0.6246858515
51	0.6235303313
52	0.622459179
53	0.621323148
54	0.6200974306
55	0.619043863
56	0.6177085103
57	0.6166096664
58	0.6155747602
59	0.6151645815
60	0.6141044559
61	0.6130261684
62	0.61178964
63	0.6108226262
64	0.6098607769
65	0.6085799394
66	0.6075889377
67	0.6068800362
68	0.6064666187
69	0.6057554961
70	0.6048539506
71	0.6039295842
72	0.602805377
73	0.6017458664
74	0.6013544731
75	0.6004541972
76	0.5999927138
77	0.5989028479
78	0.5978350239
79	0.5970418014
80	0.5963185946
81	0.5955136754
82	0.594875796
83	0.5943506901
84	0.5939793534
85	0.5935775568
86	0.5928236467
87	0.5924103566
88	0.5917771656
89	0.591245903
90	0.5904319928
91	0.5899564037
92	0.5893055615
93	0.5888397384
94	0.5881816974
95	0.5877218562
96	0.5873382306
97	0.5870698797
98	0.5867127909
99	0.5862680475
100	0.5860456003
101	0.5854475602
102	0.5847573293
103	0.5842804136
104	0.5836005498
105	0.58329909
106	0.582817289
107	0.5824713522
108	0.5821957716
109	0.5819845389
110	0.581356156
111	0.5812099993
112	0.5809277534
113	0.5802635585
114	0.5799214304
115	0.5797477149
116	0.5793254827
117	0.5788532515
118	0.5784279624
119	0.578053259
120	0.5776149878
121	0.5775345128
122	0.5771136756
123	0.5768721887
124	0.5766620847
125	0.5760447106
126	0.5757908431
127	0.5754422378
128	0.5749062319
129	0.5747043138
130	0.5743650092
131	0.5738471883
132	0.5734867293
133	0.5729255813
134	0.5727473012
135	0.5725166628
136	0.5722480985
137	0.5720319201
138	0.5716101846
139	0.571392456
140	0.5711415713
141	0.5708358392
142	0.570556415
143	0.5703161099
144	0.5699147884
145	0.5694829395
146	0.5692454618
147	0.5688759187
148	0.5686872045
149	0.568261008
150	0.5680175851
151	0.567778145
152	0.5673655168
153	0.5671445692
154	0.5667592386
155	0.5664441553
156	0.5661204098
157	0.5659403592
158	0.5654532546
159	0.5651943718
160	0.564892292
161	0.5645060726
162	0.56403052
163	0.5639066451
164	0.5634892174
165	0.5629324546
166	0.5627245244
167	0.5623603473
168	0.56185515
169	0.5612392359
170	0.5609544747
171	0.5607160615
172	0.5602899555
173	0.5600040001
174	0.559825266
175	0.5590180653
176	0.5584091239
177	0.5580543026
178	0.5578674217
179	0.5571982307
180	0.5569850077
181	0.5568093151
182	0.5565932805
183	0.556387312
184	0.5560499751
185	0.5557981947
186	0.5555060331
187	0.5553149816
188	0.5548682625
189	0.5541870744
190	0.5538720988
191	0.5535174755
192	0.553324889
193	0.5531786602
194	0.5530324839
195	0.5528278775
196	0.5526607426
197	0.5525215514
198	0.5523855088
199	0.5521904178
200	0.5520820754
201	0.551679755
202	0.5513315967
203	0.5509697152
204	0.5507857579
205	0.5506666283
206	0.5505756385
207	0.5503380982
208	0.5501707258
209	0.549967081
210	0.5498010112
211	0.5494475841
212	0.5490129789
213	0.5487452242
214	0.5484350245
215	0.5482534734
216	0.5481514098
217	0.5480647698
218	0.5478413796
219	0.547721305
220	0.5475491977
221	0.5473252517
222	0.5471577101
223	0.5468912417
224	0.5466107932
